user_id,prior_claims,fraud_flags,approved_claims,risk_score
user_001,1,0,1,low
user_002,2,0,2,low
user_003,3,1,2,medium
user_004,4,1,3,medium
user_005,6,2,4,high
user_006,1,0,1,low
user_007,2,0,2,low
user_008,3,1,2,medium
user_009,1,0,1,low
user_010,2,0,2,low
user_011,4,1,3,medium
user_012,1,0,1,low
user_013,2,0,2,low
user_014,1,0,1,low
user_015,3,0,3,low
user_016,2,0,2,low
user_017,1,0,1,low
user_018,7,3,4,high
user_019,2,0,2,low
user_020,2,0,2,low
user_021,1,0,1,low
user_022,1,0,1,low
user_023,2,0,2,low
user_024,1,0,1,low
user_025,3,0,3,low
user_026,1,0,1,low
user_027,2,0,2,low
user_028,1,0,1,low
user_029,2,0,2,low
user_030,4,1,3,medium
user_031,5,2,3,high
user_032,3,1,2,medium
user_033,5,2,3,high
user_034,6,2,4,high
user_035,1,0,1,low
user_036,3,1,2,medium
user_037,4,2,2,high
user_038,2,0,2,low
user_039,1,0,1,low
user_040,3,1,2,medium
user_041,1,0,1,low
user_042,2,0,2,low
user_043,1,0,1,low
user_044,2,0,2,low
user_045,1,0,1,low
user_046,2,0,2,low
user_047,1,0,1,low
